"sample","fastq_1","fastq_2","strandedness"
"WT_REP1","SLX-20245.D703rna_D501rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D703rna_D501rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"WT_REP2","SLX-20245.D703rna_D502rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D703rna_D502rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"NT_REP1","SLX-20245.D703rna_D503rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D703rna_D503rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"NT_REP2","SLX-20245.D703rna_D504rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D703rna_D504rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"WT_REP3","SLX-20245.D703rna_D505rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D703rna_D505rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"NT_REP3","SLX-20245.D703rna_D506rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D703rna_D506rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"WT_REP4","SLX-20245.D703rna_D507rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D703rna_D507rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"NT_REP4","SLX-20245.D703rna_D508rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D703rna_D508rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"NT_REP5","SLX-20245.D704rna_D501rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D704rna_D501rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"NT_REP6","SLX-20245.D704rna_D502rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D704rna_D502rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
"WT_REP5","SLX-20245.D704rna_D503rna.HH5FVDRXY.s_2.r_1.fq.gz","SLX-20245.D704rna_D503rna.HH5FVDRXY.s_2.r_2.fq.gz","reverse"
